bb_measure_code	period_code	grade_code	color_name	min_score	max_score
vocRawScore	ap2	6	yellow	15.0	84.0
vocRawScore	ap2	6	green	84.0	9999.0
vocRawScore	ap3	6	red	0.0	15.0
vocRawScore	ap3	6	yellow	15.0	84.0
vocRawScore	ap3	6	green	84.0	9999.0
wordAnalysisPercent	ap1	6	red	0.0	15.0
wordAnalysisPercent	ap1	6	yellow	15.0	84.0
wordAnalysisPercent	ap1	6	green	84.0	9999.0
wordAnalysisPercent	ap2	6	red	0.0	15.0
wordAnalysisPercent	ap2	6	yellow	15.0	84.0
wordAnalysisPercent	ap2	6	green	84.0	9999.0
wordAnalysisPercent	ap3	6	red	0.0	15.0
wordAnalysisPercent	ap3	6	yellow	15.0	84.0
wordAnalysisPercent	ap3	6	green	84.0	9999.0
wordAnalysisStandard	ap1	6	red	0.0	15.0
wordAnalysisStandard	ap1	6	yellow	15.0	84.0
wordAnalysisStandard	ap1	6	green	84.0	9999.0
wordAnalysisStandard	ap2	6	red	0.0	15.0
wordAnalysisStandard	ap2	6	yellow	15.0	84.0
wordAnalysisStandard	ap2	6	green	84.0	9999.0
wordAnalysisStandard	ap3	6	red	0.0	15.0
wordAnalysisStandard	ap3	6	yellow	15.0	84.0
wordAnalysisStandard	ap3	6	green	84.0	9999.0
kReadAccuracy	ap1	7	red	0.0	15.0
